monkey_id;b0;b1;b2;b3;b4;b5;b6;b7;b8;b9;b10;b11;b12;b13;b14;b15;b16;b17;b18;b19;b20;b21;b22;b23;b24;b25;b26;b27;b28;b29;b30;b31;b32;b33;b34;b35;b36;b37;b38;b39;b40;b41;b42;b43;b44;b45;b46;b47;b48;b49;b50;b51;b52;b53;b54;b55;b56;b57;b58;b59;b60;b61;b62;b63;b64;b65;b66;b67;b68;b69;b70;b71;b72;b73;b74;b75;b76;b77;b78;b79;b80;b81;b82;b83;b84;b85;b86;b87;b88;b89;b90;b91;b92;b93;b94;b95;b96;b97;b98;b99;b100;b101;b102;b103;b104;b105;b106;b107;b108;b109;b110;b111;b112;b113;b114;b115;b116;b117;b118;b119;b120;b121;b122;b123;b124;b125;b126;b127;b128;b129;b130;b131;b132;b133;b134;b135;b136;b137;b138;b139;b140;b141;b142;b143;b144;b145;b146;b147;b148;b149;b150;b151;b152;b153;b154;b155;b156;b157;b158;b159;b160;b161;b162;b163;b164;b165;b166;b167;b168;b169;b170;b171;b172;b173;b174;b175;b176;b177;b178;b179;b180;b181;b182;b183;b184;b185;b186;b187;b188;b189;b190;b191;b192;b193;b194;b195;b196;b197;b198;b199;b200;b201;b202;b203;b204;b205;b206;b207;b208;b209;b210;b211;b212;b213;b214;b215;b216;b217;b218
min;100000.00;99801.39;99599.75;100038.51;100072.18;99872.69;99673.19;99871.80;99889.01;99683.92;99490.58;99294.00;99091.33;98892.08;98689.61;98486.67;98627.30;98434.32;98235.03;98373.33;98167.82;97968.26;97768.55;97920.52;97724.44;97518.81;97306.71;97876.59;97680.54;97685.16;97483.03;97283.81;97081.51;96878.34;96679.87;96478.46;96279.91;96081.03;95876.10;95676.22;95476.39;95280.47;95074.67;94875.13;94953.51;94760.65;94564.66;94505.96;94595.26;94846.74;94653.46;94459.94;94254.16;94051.18;93851.38;93646.11;93449.49;93529.69;93333.11;93298.70;93106.10;92906.77;92707.18;92507.99;92299.13;92253.02;92056.47;91850.12;91651.92;91452.82;91260.02;91514.94;91316.20;91116.56;90912.04;90713.88;90514.31;90315.40;90115.62;89919.72;89919.72;89721.20;89521.22;89959.92;89761.14;89562.12;90001.33;90103.73;89904.36;89704.86;89505.35;89305.45;89344.39;89394.38;89391.17;89189.38;88993.32;88790.34;88584.05;88384.38;88494.86;88426.38;88451.77;88246.09;88046.22;87846.80;87650.75;87615.90;87645.21;87743.01;87546.88;87343.86;87404.00;87204.11;87250.71;87054.13;86854.87;86868.48;86666.16;86466.61;86905.74;86700.20;86614.86;86396.07;86573.54;86377.05;86685.83;86489.64;86291.49;86095.42;85899.68;85700.40;85498.98;85300.62;85100.78;84901.25;84701.50;84496.34;84291.71;84092.67;83893.91;84162.67;84055.62;83895.62;83892.38;83692.86;83481.34;83405.17;83206.84;83007.24;82808.61;82606.61;82407.10;82303.21;82097.52;81898.10;81699.86;81500.20;81300.20;81097.25;80897.33;80697.74;80491.69;80292.07;80092.45;79890.57;79684.66;79485.97;79286.54;79865.37;79665.62;80244.87;80045.08;79845.50;80288.00;80284.76;80085.88;79887.47;79675.33;79475.47;79276.73;79077.66;79100.72;78904.20;78701.69;78502.65;78940.69;79219.21;79023.11;78821.69;78625.48;79064.62;79075.22;78876.18;79022.77;79142.76;78946.10;78743.20;78541.45;78342.24;78784.38;78584.53;78379.78;78170.48;77970.98;77772.21;77762.49;77563.60;77370.18;77171.68;77280.76;77084.94;77088.42;76861.36;76959.31;76872.96;77039.03;76970.66;76772.14
q01;100000.00;100575.98;100374.79;100175.36;99969.97;100408.84;100209.34;100007.71;99802.31;99749.53;99554.89;99594.27;99392.14;99192.89;98990.99;99567.54;99357.11;99162.97;98963.68;98762.56;98968.50;98768.95;99208.29;98998.76;98802.07;98839.98;99070.18;99093.86;98897.12;99077.14;99132.44;98933.22;98731.64;98528.19;98613.20;99184.66;99354.56;99155.68;99188.99;98989.11;98789.28;98593.48;98673.27;98473.73;98268.32;98713.32;98517.44;98634.14;98434.17;98225.12;98671.18;99118.00;98911.84;98708.61;98960.26;98954.96;98758.49;99065.15;98868.78;98669.01;98477.02;98277.69;98078.10;97878.91;98446.16;98449.70;98892.80;98685.70;98487.50;98288.40;98096.36;97890.00;97912.97;97871.86;97666.80;97468.64;97269.07;97070.16;96870.38;96873.98;97453.58;98029.28;97829.30;98268.00;98844.47;99421.65;99222.01;99205.86;99211.34;99011.84;98812.33;98612.42;98553.05;98534.56;98800.79;98944.23;98748.29;98545.27;98338.83;98139.16;98203.60;98318.13;98208.08;98378.36;98178.48;97979.06;97783.02;97917.14;97917.14;97712.28;97516.13;97313.07;97103.34;97306.41;97099.74;96903.31;97341.69;97131.79;97128.21;96928.66;96729.06;97299.46;97106.98;96887.12;96872.09;96875.65;96669.42;96473.77;96741.18;96545.35;96349.95;96301.49;96241.91;96447.67;96887.31;96955.24;96955.24;96749.57;96544.55;96345.50;96714.30;96708.73;96929.06;97066.05;96857.38;96657.86;96445.65;96256.55;96058.22;95858.62;95659.99;95457.90;95793.44;96110.06;96118.05;95918.63;95720.39;96299.38;96099.39;96675.58;96475.66;96276.07;96446.22;96246.60;96046.98;95845.37;95639.99;95441.30;95241.87;95042.27;94842.52;94642.78;94442.99;94243.40;94046.60;93844.99;93646.11;93447.70;93237.12;93492.07;94068.41;93869.34;94183.52;93986.70;94158.79;93959.75;93760.64;93687.59;93936.42;94508.22;94311.77;94750.91;94861.87;94662.83;94732.46;94595.91;94399.19;94196.37;93994.68;94329.73;94133.32;94572.99;94368.51;94159.44;93959.94;93761.16;93551.08;93352.20;93159.40;92960.90;93319.60;93761.12;94203.07;93972.47;93757.06;93542.32;93343.42;93787.14;94362.84
q02;100000.00;99980.23;99779.08;99579.65;99374.09;99174.60;98975.10;99549.06;99974.64;100259.52;100065.39;99868.42;100097.21;99897.96;99836.63;99634.12;99422.86;99229.13;99029.84;99036.88;99093.30;99195.11;98995.40;98785.09;99226.44;99299.60;99720.12;99515.90;99957.28;99734.78;100308.88;100743.78;100940.20;101099.33;101488.84;101476.78;101457.59;101258.71;101055.12;101079.51;100879.68;100683.16;100478.45;100400.16;100195.95;100639.72;100443.29;100232.57;100032.60;100303.80;100109.66;100555.36;100350.31;100522.15;100322.35;100276.73;100079.70;99956.39;99759.47;99649.83;100093.51;99894.18;99694.59;99495.40;99287.41;99169.23;99612.01;99405.57;99207.37;99008.27;98815.74;99074.02;99236.85;99436.95;99232.43;99034.27;98834.70;98635.79;98436.01;98877.17;98677.31;98478.79;98278.81;98079.41;98655.88;98456.86;98257.22;98054.94;97855.57;97656.07;98094.99;97895.09;97682.79;97682.79;97480.21;97278.40;97082.23;96879.40;96840.59;96640.93;96583.63;96371.86;96170.48;96277.86;96277.86;96078.44;96519.78;96699.73;96500.03;96534.88;96338.56;96611.54;96403.12;96462.78;96521.97;96325.00;96271.91;96604.20;96594.74;96395.19;96195.59;96359.66;96166.03;95949.32;96183.23;95987.65;96010.07;95814.86;95793.10;96235.56;96040.57;95841.29;95639.12;96160.11;95960.27;95760.75;96219.46;96545.58;96339.84;96140.79;95942.04;95732.01;96185.58;96620.60;96410.83;96211.31;95997.49;96009.43;95966.68;95767.08;95568.45;95365.90;95166.39;94968.12;94761.41;94680.56;94482.32;94282.66;94082.66;94080.14;94519.95;94320.35;94113.60;93913.98;94353.13;94488.05;94281.46;94368.40;94454.93;94555.58;94355.83;94310.01;94329.72;94130.14;93933.83;94266.57;94204.66;94097.59;94037.58;94291.68;94092.94;93893.87;93688.93;93492.48;93289.85;93727.75;93528.64;93330.62;93134.73;93631.53;93435.51;93385.57;93418.49;93219.45;93331.24;93453.65;93257.26;93054.16;92852.20;92794.64;93237.01;93037.16;93029.65;92940.12;93162.60;93376.27;93166.03;93474.56;93921.15;93789.48;93587.67;94029.29;94471.33;95011.56;94995.68;95072.65;94873.75;95317.16;95118.64
q03;100000.00;100493.08;100291.74;100730.50;100799.02;100599.53;100400.02;100307.02;100101.10;100071.22;99877.52;99680.78;99478.23;99916.58;99714.26;99511.49;99299.22;99744.11;99544.82;99463.52;99258.08;99836.81;100276.15;100064.06;99868.09;99861.60;99995.47;99956.00;99759.83;99534.97;99332.88;99910.61;99927.97;100504.71;100919.08;100945.22;100954.70;100755.82;100551.68;100351.80;100151.97;99955.71;99950.05;99750.51;99772.98;99778.66;99582.29;99371.32;99171.35;98963.18;98769.57;98575.98;98370.27;98167.34;97967.54;97762.63;97566.16;97359.91;97163.44;96963.67;96883.32;96986.62;96787.04;96587.85;96379.06;96166.37;95970.06;95763.19;96337.98;96776.02;96583.59;96961.27;96762.53;97087.78;97436.58;97669.24;97855.87;98063.13;97863.35;97667.31;97659.23;97625.44;97425.46;97226.05;97027.27;96828.25;96628.61;96819.31;96619.94;96420.44;96220.93;96660.74;96771.63;96573.30;96748.64;96547.00;96988.48;97564.71;98138.63;98577.88;98367.67;98155.65;97954.21;98526.10;98326.23;98126.81;98568.19;98894.00;98694.30;98489.92;98931.46;99018.40;98809.64;98609.75;98766.61;98569.85;98370.58;98162.50;98429.94;98230.39;98030.79;98037.67;98482.45;98633.51;98471.32;98651.62;98446.29;98888.22;98690.07;99131.79;98936.11;98736.83;98639.35;98440.99;98880.63;98681.11;98978.15;98772.51;98567.41;98368.36;98169.61;97960.70;97761.25;97549.40;97340.26;97918.86;97703.71;97515.77;97317.44;97896.28;97697.65;97495.31;97295.80;97097.53;97390.57;97191.15;97398.48;97392.62;97192.62;97768.75;97568.83;97369.24;97413.40;97852.57;97652.96;97451.22;97245.86;97047.17;97030.23;96830.63;96630.88;96431.13;96231.34;96031.76;96473.74;96704.26;96505.38;96306.97;96096.78;95896.92;96473.26;96274.19;96469.77;96272.81;96232.69;96232.69;96670.73;96472.70;96276.21;96075.19;95878.56;95678.94;95759.12;95616.77;95856.16;96026.50;95829.62;95764.06;95562.57;95758.87;95680.74;95568.00;95363.84;95155.31;94955.81;94757.04;95084.65;95108.78;95556.83;95818.76;95971.27;95776.28;95581.21;95345.78;95473.38;95456.71;95456.71;95261.07;95702.91
q04;100000.00;99922.95;99721.57;100160.32;99954.57;100393.44;100193.94;99992.03;100377.95;100372.08;100178.33;100620.99;100418.41;100856.77;100786.93;100584.13;100492.84;100937.73;100738.44;100536.65;101107.47;100907.91;100708.20;100496.12;100300.04;100696.10;100541.82;100712.45;101154.09;100929.02;100961.57;101539.30;101563.79;101568.54;101370.07;101321.92;101123.37;101255.38;101266.97;101846.61;101646.78;101450.47;101245.48;101045.94;100841.42;100647.83;101089.01;100877.58;101317.52;101404.60;101211.20;101657.64;101451.85;102027.81;101828.01;102398.00;102201.40;102773.57;102576.91;102377.14;102184.58;101985.25;101785.66;101586.47;101377.54;101164.42;100968.03;101070.88;101645.67;101446.57;101254.00;101422.08;101607.94;101845.59;101996.45;101798.29;101598.72;101399.81;101200.03;101004.00;101175.33;101313.71;101113.73;101033.09;101033.09;100834.06;101273.27;101450.89;101251.52;101269.12;101069.61;101509.42;101298.44;101100.11;100897.66;101470.51;101274.27;101071.63;100865.97;100666.30;100455.91;100243.98;100530.28;100583.23;100383.36;100183.94;99987.63;99777.73;100217.07;100012.64;100454.22;100251.32;100042.35;99842.46;100415.92;100219.23;100019.96;100300.63;100297.57;100736.59;100536.99;100331.73;100138.74;100051.00;100341.07;100783.59;100578.38;101020.44;100822.29;100626.22;100430.64;100231.36;100029.68;99831.32;99631.48;99431.96;99232.21;99322.14;99117.10;98918.05;98719.30;98510.54;98311.09;98098.28;97887.73;97688.22;97474.50;97286.57;97088.24;96888.64;97213.01;97010.78;96811.26;96879.95;96937.56;97070.39;97143.12;97129.35;96929.36;96726.66;96526.74;96965.85;97538.68;97977.85;97778.24;97576.57;97371.24;97172.55;97201.25;97001.65;97441.11;97241.36;97041.57;96841.99;96645.14;96591.15;96392.27;96785.59;97085.27;97270.43;97071.69;96872.62;97027.70;96830.69;96881.93;96682.89;96483.78;96588.65;96566.29;96590.17;96393.54;96193.92;96362.08;96163.04;95960.70;96110.92;96032.36;96091.82;95890.35;95691.13;96132.93;96572.60;96365.95;96392.39;96192.89;96234.89;96022.34;96196.10;96004.31;95978.94;95776.67;95581.76;95386.64;95780.29;95763.78;96189.72;95990.82;96434.52;96236.01
q05;100000.00;100109.30;100301.93;100102.50;100278.78;100079.29;99879.79;99678.17;99819.98;99805.43;99611.10;99618.80;99416.59;99217.34;99015.35;98812.88;98601.87;99046.18;99484.61;99283.33;99384.18;99409.06;99848.40;99638.49;100079.82;100135.50;99924.94;100061.72;99865.14;100172.39;99970.72;100025.76;99823.98;99621.33;99958.61;99986.78;99788.23;99589.35;99385.52;99965.17;99765.34;99568.89;99721.84;100160.82;100731.81;100538.00;100341.50;100307.74;100107.77;100570.22;100376.04;100821.49;100616.70;100414.20;100214.40;100010.18;99813.18;99607.78;100050.53;100490.02;100934.28;100734.95;100535.37;100336.18;100365.31;100152.76;100098.75;99891.96;99693.77;100131.80;100577.24;100371.05;100172.31;99972.67;99767.92;99569.76;99370.19;99171.28;99610.80;99415.03;99215.17;99790.87;99590.89;99391.48;99192.70;98993.68;98794.04;98973.63;98774.26;98574.76;99013.69;98813.78;98775.18;98769.43;98567.12;98365.59;98806.99;98604.37;98398.79;98199.12;98324.61;98506.24;98446.76;98826.74;98931.71;98732.29;98535.89;98559.25;98359.55;98353.84;98157.36;98356.62;98509.85;98622.18;98416.74;98219.70;98658.07;98447.41;98637.78;99076.79;98877.19;98933.81;98742.49;98691.72;98492.44;98935.82;99089.73;98894.27;98696.12;98500.64;98942.27;98742.99;98540.82;99116.07;98916.23;98716.70;98516.95;98963.43;98757.85;98558.80;98360.05;98150.19;98150.19;98710.17;98754.83;98555.32;98341.46;98153.80;97955.47;97755.87;97557.24;97354.57;97354.57;97929.56;97722.62;97877.51;97679.27;97479.61;97279.61;97855.18;97655.26;97455.67;97517.49;97317.87;97118.26;97016.09;97191.00;96992.31;96792.88;96593.28;97032.74;96832.99;96633.20;96433.62;96237.23;96810.48;96986.61;97029.15;97044.60;97624.16;97900.96;97761.39;97752.06;97555.47;97353.03;97153.99;96954.88;96909.67;97351.47;97661.14;97464.93;97265.31;97228.65;97029.61;97224.44;97322.82;97126.31;96923.31;96721.46;96992.67;96796.50;97236.16;97031.06;96937.42;96737.92;96937.61;96726.60;96527.71;96335.70;96438.86;96535.64;96340.34;96144.83;95913.50;95698.78;96258.19;96059.29;96502.74;96867.59
q06;100000.00;100052.35;99851.64;99652.21;99447.73;99248.24;99687.14;99484.93;100058.04;100243.71;100690.07;100493.62;101068.65;100869.40;100937.25;100734.37;100521.50;100328.55;100129.26;100526.60;101020.58;101281.27;101081.56;100869.68;100673.63;101055.56;100843.46;100638.31;101080.08;101101.73;100899.61;100700.39;100498.10;100294.94;100096.47;99895.06;99929.12;99730.24;99612.36;99412.48;99852.10;99656.28;99450.42;99889.41;100459.19;100266.58;100070.63;100356.17;100156.20;100526.48;100333.35;100139.86;100319.31;100116.32;100387.05;100181.89;100624.91;100418.70;100359.88;100160.11;99967.72;100039.90;100102.79;100122.02;100069.44;99992.93;99796.48;100369.42;100595.03;100395.93;100203.08;99997.54;99798.80;99599.16;99873.09;99674.93;99475.36;99276.45;99276.45;99080.46;98880.60;98682.07;99122.04;98922.63;99499.11;99300.09;99739.29;99536.92;99975.53;99776.03;99576.52;99376.62;99516.54;99613.53;99700.57;99498.82;99501.99;99299.10;99197.61;98997.94;99559.40;99542.04;99550.14;99642.97;99443.09;99243.67;99047.66;99084.09;99166.25;99159.82;98963.69;99076.12;98866.67;99107.55;98901.33;98704.68;98505.41;99070.36;99155.39;99594.41;100033.54;99828.13;100273.16;100054.22;100632.15;100435.73;100871.54;100675.40;100703.08;100506.88;100311.07;100111.79;99910.26;100005.60;100445.24;100445.24;100245.49;100040.21;99835.65;100273.57;100074.82;99866.49;100178.07;100466.88;100258.77;100260.36;100142.85;100152.76;100350.32;100150.72;99952.09;99750.21;99550.70;99352.43;99146.81;98947.39;98947.39;98747.73;99187.71;98984.92;98984.92;98785.33;98579.21;99018.39;98818.77;98616.83;98410.98;98212.29;98012.86;97813.26;97613.51;97413.77;97213.98;97653.07;97457.10;97254.83;97055.95;96857.54;96645.69;97086.03;96887.29;96688.22;96483.03;96925.93;97500.55;97301.51;97102.40;97297.78;97101.76;96900.26;97342.32;97142.70;97420.90;97221.86;97561.12;97527.26;97330.74;97906.39;97986.62;98037.65;97841.36;97641.51;97436.78;97227.32;97027.82;96829.04;97192.65;97418.03;97224.60;97026.09;97148.59;96952.81;96756.96;97132.47;97195.15;97508.25;97309.35;97112.77;97237.99
q07;100000.00;99801.39;99955.00;99755.57;99750.38;100189.26;99989.75;100172.87;99967.63;99763.73;99569.42;99372.34;99712.63;100150.99;99949.08;99746.71;100005.80;100450.01;100250.72;100049.49;99844.92;100282.21;100082.50;100263.72;100067.09;99862.52;99652.28;99448.08;99251.50;99029.56;98827.89;98628.68;98619.33;98494.03;98809.43;99039.13;99004.66;99581.43;99799.46;99599.58;99399.75;99203.24;99283.44;99722.42;99518.33;99324.32;99127.87;98917.18;98717.21;98509.39;98954.59;99400.76;99195.22;99427.84;99228.04;99384.01;99187.26;98981.60;99424.57;99224.80;99032.30;98832.97;98633.38;99211.04;99777.65;99564.38;99368.14;99940.62;99742.42;99543.32;99988.43;99782.59;99583.85;99384.21;99679.59;100254.24;100832.98;101409.81;101210.03;101013.79;101104.64;101298.18;101298.18;101098.78;100900.00;100980.26;100780.62;100578.77;100379.40;100818.30;100618.79;100418.89;100517.96;100319.63;100117.42;100141.79;99945.37;99942.55;100222.77;100662.02;100955.96;101048.57;101228.57;101158.28;100958.41;100949.98;100753.47;100544.23;100344.53;100355.79;100160.43;100324.24;100112.80;100485.83;100460.17;100264.07;100064.80;99854.80;99973.54;99773.99;99574.39;99972.95;99781.06;99886.55;100073.22;100075.76;99869.12;100311.73;100324.46;100128.92;99933.78;99734.50;99532.42;100107.67;99907.83;99983.72;100055.47;99849.19;99643.57;100081.49;99882.74;99673.07;99637.02;99536.68;99326.44;99126.92;98912.30;98725.08;98801.35;98907.71;98946.63;99322.22;99553.93;99441.18;99389.44;99501.77;99303.53;99502.64;99302.65;99099.58;99539.39;99339.79;99386.74;99346.30;99146.68;99719.59;99784.21;99585.52;99502.20;99302.60;99102.85;99185.52;99243.33;99043.74;98847.16;98756.05;99332.81;99908.19;100453.40;100679.22;100480.48;100281.41;100077.07;99880.32;99877.27;99678.23;100116.26;99918.24;99722.13;99594.48;99398.29;99198.67;99000.01;99174.76;98971.77;98773.87;99217.14;99013.81;98811.48;98612.26;98416.56;98216.71;98784.32;99352.55;99153.05;98954.27;98743.68;98544.80;98352.22;98153.72;97951.76;97756.56;97561.12;97646.09;97816.38;98001.84;97802.94;97606.84;97606.81
q08;100000.00;99801.39;99600.48;99401.05;99369.14;99647.78;99448.28;100022.57;100210.18;100781.19;100586.49;100389.30;100187.26;99988.01;100144.35;99942.12;99732.06;100175.88;99976.59;99775.40;99653.76;99454.20;99254.49;99043.64;98847.31;98642.12;98431.05;98226.18;98030.25;97802.96;97600.86;98178.59;98752.75;98549.80;99125.36;98924.24;98725.69;99064.48;98860.33;98660.45;98460.62;98264.16;98059.40;97859.86;97655.48;97461.76;97265.28;97054.86;96854.89;96977.99;96783.83;97229.34;97024.49;96821.93;96622.13;96417.85;96220.77;96501.86;96944.32;96744.55;97188.05;97319.22;97404.53;97493.58;97496.20;97665.34;97468.40;97498.06;97299.87;97100.77;97544.69;97340.03;97141.29;96941.65;97040.29;96842.13;96642.56;96443.65;96325.46;96767.17;96567.31;96368.79;96168.81;95969.41;95866.24;95667.21;96106.42;95903.94;95704.57;96143.47;95943.96;95744.05;95782.24;95583.91;95381.08;95519.59;95961.56;96537.34;96518.89;96319.22;96107.25;96112.96;95911.03;96269.88;96709.62;97148.32;96952.61;96740.33;97179.67;96974.03;96778.27;96777.74;96566.86;96514.87;97087.04;96891.00;97329.37;97119.62;97344.01;97144.46;96944.87;97034.49;96842.51;96715.35;96930.17;96734.13;96527.79;96332.16;96375.96;96180.21;95984.81;96024.21;96018.81;95820.45;96020.25;96136.68;96397.15;96666.23;96664.26;96465.21;96827.20;97026.24;97344.48;97587.54;97378.69;97179.17;96965.79;97415.71;97217.38;97348.94;97488.16;98061.00;98639.59;98639.08;98728.30;98528.88;98330.64;98330.64;98770.62;98567.68;98367.76;98168.17;97962.07;97962.07;97762.45;97560.32;97669.14;97470.45;97615.37;97841.27;97641.52;97839.12;97917.90;98027.70;98150.69;98044.69;97845.81;97647.40;97821.09;97997.35;97798.61;97599.54;97590.88;97621.14;97719.20;97520.16;97958.20;98104.14;97907.98;98034.32;97838.02;97638.40;97439.74;97439.74;97236.99;97039.09;97482.22;97531.80;98104.22;98681.93;98485.70;98285.85;98081.08;97871.58;97672.08;97948.48;98107.10;97908.21;97715.08;98034.88;98264.79;98706.00;98510.11;98461.33;98248.12;98267.43;98263.58;98067.37;97868.85
q09;100000.00;99801.39;99600.02;100038.77;100612.74;100413.25;100213.74;100787.75;100910.70;100972.06;101417.39;101859.85;101657.51;102095.86;101985.87;101783.30;101571.41;102016.10;101816.81;101925.35;101720.38;101863.16;101663.45;101757.87;101561.52;101356.44;101317.48;101369.19;101172.77;101336.13;101428.96;102006.69;102324.62;102121.92;101923.45;101722.49;101523.94;101801.28;101597.35;101397.47;101197.64;101638.47;102211.58;102012.04;102042.77;102048.14;101851.62;101868.19;102308.13;102100.63;102545.67;102476.32;102470.65;102268.04;102607.57;102403.17;102845.79;102957.58;103400.21;103200.44;103007.30;102935.31;102812.99;102683.24;103252.15;103240.32;103682.84;103476.89;103704.71;103704.71;104148.98;103943.97;103745.23;103545.59;103341.70;103143.54;102943.97;102745.06;102545.28;102349.08;102149.22;101950.70;101750.72;101551.31;101352.53;101153.51;101592.72;101630.69;101661.48;101461.98;101262.47;101702.28;101490.83;101498.46;101295.81;101093.98;101535.88;101332.52;101126.11;100926.44;100714.22;100501.33;100299.74;100094.01;99894.14;99694.72;99498.50;99288.14;99088.44;99020.47;98824.19;98621.38;98931.65;99061.96;98856.12;98659.28;98659.28;98451.69;99026.18;98826.63;98627.03;98872.21;99316.63;99421.29;99514.76;99318.06;99439.30;99242.94;99270.54;99074.13;98878.12;98678.84;98476.41;98278.05;98078.21;97878.69;97678.94;97472.01;97265.74;97066.69;97066.69;97114.97;96915.52;96701.76;97102.14;96902.62;96688.43;97139.17;97127.28;97565.76;97367.13;97890.01;97690.50;97492.23;97567.82;97428.29;97344.56;97144.90;96944.90;96741.72;97181.52;96981.93;97352.75;97791.93;97592.31;97390.11;97183.64;96984.95;96953.26;96753.66;96843.72;96643.97;96444.18;96883.27;97325.90;97123.70;96924.82;96726.41;97290.79;97870.35;98380.01;98817.95;98612.64;99055.60;99630.00;99430.96;99231.85;99246.06;99050.27;99109.44;98913.54;98713.92;99117.54;98918.50;98780.37;99051.21;98855.01;98966.33;98764.15;98564.93;99007.46;99447.13;99241.47;99030.69;99060.61;99140.70;99709.38;99732.09;99539.26;99340.76;99138.96;98943.53;98747.98;99078.01;98864.05;98650.56;98451.66;98255.78;98057.27
