monkey_id;b0;b1;b2;b3;b4;b5;b6;b7;b8;b9;b10;b11;b12;b13;b14;b15;b16;b17;b18;b19;b20;b21;b22;b23;b24;b25;b26;b27;b28;b29;b30;b31;b32;b33;b34;b35;b36;b37;b38;b39;b40;b41;b42;b43;b44;b45;b46;b47;b48;b49;b50;b51;b52;b53;b54;b55;b56;b57;b58;b59;b60;b61;b62;b63;b64;b65;b66;b67;b68;b69;b70;b71;b72;b73;b74;b75;b76;b77;b78;b79;b80;b81;b82;b83;b84;b85;b86;b87;b88;b89;b90;b91;b92;b93;b94;b95;b96;b97;b98;b99;b100;b101;b102;b103;b104;b105;b106;b107;b108;b109;b110;b111;b112;b113;b114;b115;b116;b117;b118;b119;b120;b121;b122;b123;b124;b125;b126;b127;b128;b129;b130;b131;b132;b133;b134;b135;b136;b137;b138;b139;b140;b141;b142;b143;b144;b145;b146;b147;b148;b149;b150;b151;b152;b153;b154;b155;b156;b157;b158;b159;b160;b161;b162;b163;b164;b165;b166;b167;b168;b169;b170;b171;b172;b173;b174;b175;b176;b177;b178;b179;b180;b181;b182;b183;b184;b185;b186;b187;b188;b189;b190;b191;b192;b193;b194;b195;b196;b197;b198;b199;b200;b201;b202;b203;b204;b205;b206
min;100000.00;99799.87;99600.12;99398.08;99192.07;98993.19;98790.39;98588.29;98810.19;98607.25;98694.30;98915.34;99129.69;98926.73;98720.84;98521.84;98730.33;98527.10;98748.53;98545.36;98762.96;98983.63;98781.84;99003.36;99225.40;99420.30;99496.72;99297.14;99098.37;98893.33;99018.01;98819.62;98620.66;98421.26;98643.20;98443.88;98665.38;98883.62;98993.36;98791.29;98586.63;98380.88;98182.10;97973.51;98194.93;98360.82;98579.83;98381.29;98179.65;98400.62;98201.29;98416.39;98214.38;98015.06;98011.64;97809.65;97779.59;97761.42;97590.86;97584.13;97562.25;97779.95;97580.93;97379.01;97180.22;97207.50;97007.64;96808.48;96609.53;96410.04;96211.60;96012.17;95990.53;95932.56;95730.44;95531.06;95332.35;95133.92;94931.03;95152.51;94949.70;94949.70;95167.38;94968.68;95062.12;94859.21;95079.84;94873.29;95091.42;94892.72;94685.30;94481.21;94701.46;94499.21;94716.64;94514.14;94731.79;94804.33;94604.62;94402.80;94196.48;93994.17;93790.75;93890.97;93869.86;94086.77;94297.83;94514.88;94736.34;94954.36;94755.95;94554.15;94352.03;94548.47;94769.08;94987.13;95207.80;95205.71;95002.87;95008.49;94810.21;94612.03;94412.89;94358.56;94580.45;94606.49;94403.87;94204.13;94420.46;94637.29;94438.92;94234.60;94031.13;94248.82;94324.45;94546.55;94445.53;94426.80;94223.32;94435.85;94656.75;94457.74;94259.42;94060.69;93860.95;93662.29;93462.73;93264.09;93065.20;93286.75;93088.47;93310.29;93111.84;92912.20;93134.05;93352.20;93572.49;93625.97;93847.46;93924.17;93968.37;93769.30;93569.51;93369.72;93170.32;92970.53;92770.53;92992.44;92793.14;92594.41;92395.44;92191.73;92412.40;92208.77;92010.09;91810.97;91612.15;91829.04;92045.26;91846.10;92066.70;91868.40;92084.99;91885.58;92102.48;92319.67;92389.61;92349.03;92566.58;92788.08;92751.27;92972.53;93146.69;92939.53;92739.94;92540.67;92754.35;92975.52;93012.49;93055.69;93066.32;92839.73;93056.24;92852.56;93057.80;93270.95;93072.49
q01;100000.00;99799.87;99600.12;99397.78;99191.21;99204.07;99422.26;99557.82;99358.11;99155.25;99372.29;99173.36;98967.58;99185.90;99114.38;98915.38;99123.25;98919.79;98720.51;98516.91;98314.37;98115.77;97913.49;97714.12;97514.29;97705.61;97762.41;97669.40;97890.27;98103.86;97992.35;97979.65;98200.72;98422.27;98222.53;98023.22;98023.22;98241.13;98316.33;98334.30;98360.01;98575.03;98376.25;98587.14;98573.53;98788.80;99007.67;98809.13;98607.24;98408.37;98408.37;98622.73;98420.18;98641.66;98859.35;99076.18;99224.56;99445.16;99245.40;99038.46;98836.38;98633.79;98434.77;98232.45;98033.66;97834.57;97634.71;97435.55;97656.61;97878.27;97997.65;97798.22;98016.68;98238.55;98036.38;97921.61;97722.90;97524.47;97742.37;97963.85;97917.55;98137.89;98201.46;98002.76;97802.98;97600.20;97607.55;97401.17;97619.49;97420.79;97635.69;97704.96;97925.22;98142.33;98165.69;97963.74;97760.86;97562.31;97362.60;97410.39;97624.53;97841.83;98060.48;98199.03;98420.23;98637.18;98427.17;98225.33;98026.02;97823.35;97864.69;97662.86;97460.65;97656.22;97876.83;98094.80;97896.20;97832.44;97629.40;97850.77;97652.49;97652.49;97453.36;97674.55;97474.85;97273.23;97070.35;96870.60;96668.04;96617.89;96419.52;96216.03;96013.31;96231.51;96453.06;96253.17;96474.57;96267.82;96064.83;95857.57;95658.76;95459.75;95261.43;95062.70;95284.64;95085.98;94886.42;94687.79;94908.77;94709.37;94511.09;94732.91;94953.41;94753.77;94975.62;94772.08;94992.37;95213.33;95179.81;95401.87;95530.92;95752.11;95739.52;95691.90;95913.46;96135.46;95935.46;95735.74;95536.44;95337.71;95138.74;94935.52;94736.92;94955.71;94757.03;94557.91;94778.82;94576.62;94375.08;94434.11;94235.56;94455.89;94673.33;94894.91;95112.69;95330.72;95268.04;95489.54;95286.60;95359.26;95453.70;95443.32;95661.86;95590.19;95390.59;95544.56;95759.90;95981.07;96202.06;96003.63;95790.10;95558.11;95354.91;95294.78;95497.26;95709.17;95510.71
q02;100000.00;100222.37;100022.61;99820.61;100036.42;100007.59;99804.97;99603.21;99825.10;100043.54;100017.20;100238.24;100452.95;100250.07;100465.36;100686.47;100895.74;100692.73;100493.45;100290.41;100354.65;100156.04;99954.36;100175.88;100397.92;100594.86;100632.70;100628.86;100849.72;101064.51;101285.79;101087.40;100888.44;101110.00;100910.26;100710.94;100511.59;100309.38;100530.41;100328.30;100123.83;99983.25;99784.47;99576.16;99376.88;99170.82;99389.89;99191.35;98989.73;98790.86;99012.33;98805.74;98603.42;98404.09;98200.96;97998.63;98220.68;98022.13;97822.37;97615.48;97413.27;97210.50;97431.63;97229.23;97450.10;97251.01;97051.15;96851.99;96653.04;96874.70;97095.19;96895.76;96692.61;96914.48;96712.26;96512.88;96314.17;96115.74;96333.79;96555.27;96773.37;96753.11;96550.90;96352.20;96152.42;95949.74;96170.38;95964.32;96182.83;95984.13;96199.43;95996.23;96142.01;95940.28;95737.87;95955.23;96173.51;96394.13;96194.42;96411.42;96206.00;96275.22;96318.27;96116.12;96172.43;96095.26;96150.98;96366.97;96588.43;96805.43;97025.88;97241.91;97038.78;96809.55;96611.01;96828.19;96629.59;96782.47;96578.65;96800.02;96601.74;96403.56;96204.43;96244.65;96044.95;96261.14;96057.57;96279.50;96076.35;96293.50;96095.13;96312.74;96109.58;96125.18;95925.78;96031.55;95832.28;95624.87;95421.55;95327.64;95128.83;94929.82;94731.50;94532.77;94333.03;94553.77;94775.50;94996.21;95217.19;95017.79;94819.51;95041.33;95038.72;95260.55;95343.79;95425.29;95645.58;95627.23;95848.72;96070.79;96291.44;96092.37;95892.57;95692.79;95493.39;95293.59;95093.60;94893.88;94694.58;94495.85;94296.88;94515.43;94736.10;94813.82;94909.55;94938.31;94739.49;94633.83;94431.93;94653.22;94873.83;95094.16;95311.27;95532.84;95750.29;95943.86;96160.79;96382.29;96178.95;95979.60;95780.55;95581.42;95799.23;95592.20;95813.98;95614.72;95406.36;95627.53;95428.64;95649.11;95857.52;96048.92;96265.29;96175.61;95958.51;96171.25;96391.76
q03;100000.00;100222.37;100444.32;100242.58;100458.93;100260.04;100478.89;100516.93;100317.23;100115.04;100332.78;100133.85;100200.03;99997.52;100068.30;100228.55;100439.68;100482.73;100283.45;100501.64;100718.69;100939.36;100737.09;100537.73;100337.90;100528.98;100746.76;100905.97;100707.20;100501.35;100512.84;100314.46;100115.50;99916.10;100138.04;100359.51;100581.01;100378.30;100599.33;100396.79;100191.21;100405.53;100206.75;99996.79;99797.51;99590.24;99386.66;99188.12;98985.75;99206.72;99007.39;99220.97;99437.79;99535.61;99614.35;99516.65;99516.65;99737.25;99959.21;100173.09;99970.87;99768.15;99569.13;99786.33;99786.33;100007.54;100229.62;100411.07;100464.74;100532.87;100587.23;100387.80;100184.76;100406.63;100340.06;100561.59;100782.38;101002.86;101220.86;101442.34;101660.31;101880.65;102098.47;101899.77;101699.99;101497.19;101298.62;101092.01;101102.80;100904.10;100696.79;100492.82;100294.60;100378.04;100595.50;100393.19;100611.02;100412.47;100212.76;100010.91;99804.44;99602.04;99820.26;99617.39;99838.59;99636.52;99846.63;100063.42;99864.11;99661.18;99647.57;99625.31;99422.88;99616.84;99418.30;99636.09;99783.27;99583.95;99801.56;99878.91;100099.22;100319.41;100351.59;100152.52;99952.82;99750.95;99547.89;99547.89;99345.26;99142.16;99362.57;99580.86;99798.27;99594.73;99395.33;99617.43;99694.59;99785.33;99582.73;99796.82;99598.01;99819.13;100039.48;99840.75;99641.01;99442.35;99242.79;99044.16;99265.14;99486.69;99519.43;99741.25;99656.02;99517.18;99317.52;99114.27;99334.56;99555.52;99356.18;99156.33;98957.74;99178.93;99235.45;99291.81;99092.41;98892.61;98692.62;98492.90;98293.60;98094.86;97895.89;97692.82;97913.49;97710.26;97511.58;97312.46;97113.64;97331.04;97129.10;97350.39;97570.99;97372.68;97589.75;97811.32;98028.75;97825.66;97623.24;97423.88;97220.23;97020.88;97242.04;97463.31;97259.37;97052.05;97273.82;97495.22;97286.91;97087.87;96888.97;96690.55;96479.30;96672.16;96469.80;96266.38;96472.55;96686.26;96906.77
q04;100000.00;100000.00;100221.95;100219.15;100013.72;100234.70;100032.27;99830.63;100052.53;100271.13;100488.69;100709.73;100633.11;100430.41;100645.91;100867.02;100655.13;100452.24;100252.95;100049.91;99848.03;99649.43;99447.66;99669.18;99469.35;99242.79;99040.15;99261.91;99063.14;98858.10;98658.96;98460.57;98681.64;98482.24;98282.50;98503.97;98304.61;98101.99;97903.06;98120.80;98334.60;98128.57;97929.79;97720.66;97942.08;97975.89;97772.82;97993.42;97791.74;98012.72;97813.39;98028.52;97826.60;97627.27;97845.61;97904.32;97704.48;97925.08;98147.04;98362.28;98160.73;98232.45;98033.42;98251.31;98052.52;98106.37;98158.07;98183.94;98253.06;98474.72;98695.21;98495.78;98293.27;98515.14;98312.27;98112.89;98333.68;98554.16;98771.61;98993.09;98789.85;98783.02;98580.08;98800.87;98980.16;99134.36;99354.99;99568.78;99365.26;99384.21;99598.09;99394.06;99420.69;99637.25;99434.16;99650.84;99868.34;100088.96;100310.85;100108.70;99901.59;100118.35;100182.28;99979.31;99780.23;99578.05;99365.82;99163.28;98963.97;98760.52;98562.11;98359.56;98156.63;98346.56;98567.16;98562.84;98364.25;98403.10;98620.29;98841.66;98643.38;98445.20;98246.07;98047.00;98268.89;98283.79;98501.34;98654.09;98669.95;98887.50;98689.12;98655.45;98452.65;98670.95;98892.50;98815.96;99037.36;99250.59;99246.78;99039.67;98840.86;98840.86;99061.21;98862.48;98662.74;98883.48;98897.76;98699.12;98500.23;98500.23;98301.95;98102.32;98322.82;98322.82;98544.67;98762.96;98762.96;98564.09;98582.58;98382.73;98603.38;98611.65;98411.85;98212.07;98012.67;97812.87;97612.88;97413.16;97213.86;97434.66;97655.73;97452.14;97494.28;97712.73;97514.04;97735.29;97536.47;97753.98;97677.79;97478.63;97280.08;97341.38;97138.70;97360.28;97577.71;97579.07;97795.95;97596.59;97709.29;97697.83;97498.78;97340.25;97136.67;97349.74;97571.52;97792.92;98007.46;97808.41;97609.52;97411.09;97200.29;96974.99;97191.76;97346.85;97553.10;97346.21;97331.35
q05;100000.00;99799.87;99600.12;99596.84;99812.25;99848.87;100067.29;100284.81;100085.10;99882.54;99680.93;99482.00;99696.55;99915.23;100130.50;100351.61;100138.98;100357.65;100158.37;100377.10;100174.84;100395.51;100193.42;100414.94;100636.97;100830.86;100628.27;100636.71;100437.94;100232.68;100453.95;100439.24;100240.28;100040.88;100262.82;100484.29;100593.35;100390.90;100191.97;100145.73;99940.88;99734.92;99536.14;99327.08;99400.67;99194.12;98990.92;98792.38;99009.65;98810.78;98840.79;98634.58;98432.51;98233.18;98030.26;97828.17;98050.21;98270.81;98492.77;98707.56;98924.81;99142.52;99199.55;98997.67;98798.88;99020.09;98820.23;98621.07;98422.12;98222.63;98024.19;97824.76;97621.92;97422.24;97220.15;97020.77;97241.56;97462.04;97680.21;97901.69;98119.86;97988.55;97786.33;97587.63;97387.85;97185.23;97405.87;97199.94;96997.11;96798.41;97013.78;96810.63;96612.41;96410.62;96208.13;96006.20;95803.28;95604.72;95405.01;95203.11;94996.63;94794.27;95012.63;95230.03;95030.96;94829.11;94617.35;94414.95;94636.41;94433.12;94234.71;94032.45;94249.32;94022.73;94243.33;94461.06;94262.46;94264.20;94481.87;94282.64;94302.98;94523.17;94744.43;94545.36;94767.25;94565.57;94783.61;94583.86;94381.42;94485.70;94287.32;94505.69;94502.14;94720.87;94942.42;95164.52;94965.25;95179.35;94976.88;94973.40;95194.30;95136.77;95132.36;95299.33;95521.27;95601.54;95654.88;95671.10;95664.01;95885.56;96105.87;96327.69;96368.54;96168.90;95969.24;95765.12;95985.41;95786.54;96008.03;96230.10;96450.75;96251.68;96473.67;96695.65;96496.25;96296.45;96518.67;96740.58;96962.04;97182.84;97403.91;97622.31;97622.31;97840.35;98061.10;98123.48;98344.39;98561.44;98777.85;98578.70;98380.15;98600.48;98817.21;98617.80;98414.50;98210.97;98427.36;98648.86;98676.23;98476.88;98277.83;98078.70;97874.65;98086.92;97887.32;98108.72;97900.22;97701.17;97502.28;97303.85;97510.99;97280.57;97356.40;97391.66;97595.36;97807.85;97609.39
q06;100000.00;99799.87;99600.12;99818.15;99612.32;99608.67;99827.10;99624.96;99425.25;99222.40;99020.44;99241.48;99036.05;98833.08;99048.15;98849.15;98635.94;98755.13;98976.55;99195.29;98993.23;99213.90;99431.34;99231.98;99032.15;99227.05;99237.51;99254.54;99475.40;99270.40;99491.67;99635.67;99436.71;99237.31;99459.25;99680.72;99902.22;100120.38;100341.41;100363.70;100159.11;99953.32;99974.04;99765.44;99986.86;100202.54;100421.55;100642.15;100440.52;100661.50;100462.17;100677.13;100475.17;100275.84;100073.01;100290.22;100512.26;100501.89;100401.10;100345.52;100143.78;100088.66;100309.80;100107.87;99909.08;100130.29;100238.78;100307.71;100423.13;100223.64;100025.19;99825.76;99623.05;99423.37;99221.31;99021.93;98823.22;99043.71;98840.87;98641.54;98438.70;98240.40;98037.92;98258.72;98058.94;97856.05;98076.69;97870.17;97666.88;97468.18;97682.78;97900.81;97702.59;97500.36;97717.86;97934.60;98152.23;98372.85;98594.74;98392.84;98186.48;97984.16;97973.98;98191.51;98262.26;98326.49;98116.06;97914.15;98135.61;98353.58;98574.03;98791.04;98588.90;98720.19;98521.64;98739.70;98960.37;99181.83;98978.99;99071.08;99291.39;99511.58;99312.45;99415.49;99215.79;99245.06;99463.35;99685.28;99903.02;100119.75;100340.16;100135.86;99932.39;100149.98;100371.53;100593.63;100815.04;100607.28;100823.98;101036.33;100837.52;100841.63;100643.31;100864.12;101086.06;100887.40;100687.84;100687.84;100488.95;100710.50;100512.22;100312.59;100533.09;100333.44;100133.78;99930.00;100150.29;99951.42;99940.94;99997.32;100021.65;100086.65;99886.86;99687.07;99487.67;99287.88;99087.88;98888.16;98688.86;98490.13;98291.16;98087.46;97888.85;98107.01;97908.33;97709.21;97510.38;97307.30;97523.49;97744.78;97546.23;97347.93;97144.77;97366.34;97583.18;97800.31;97888.27;98109.77;98327.32;98548.81;98519.24;98740.50;98536.57;98329.38;98129.79;97930.52;97722.17;97943.34;98164.33;98384.80;98453.35;98226.71;98443.20;98345.93;98551.01;98343.62;98145.16
q07;100000.00;100113.43;100335.38;100553.83;100348.82;100348.82;100384.49;100602.51;100402.80;100621.68;100420.56;100641.60;100435.33;100653.42;100446.69;100247.69;100454.85;100251.33;100472.76;100269.23;100066.79;100287.46;100250.44;100471.96;100693.99;100886.31;100683.42;100905.18;101126.04;100920.30;100721.16;100941.59;101162.65;101384.21;101424.47;101645.94;101867.44;101664.76;101465.83;101263.26;101057.68;100850.78;100652.00;100441.55;100242.27;100456.63;100675.06;100895.65;100780.76;101001.73;100802.40;100595.26;100812.21;101033.69;101059.46;101083.73;101305.77;101107.23;100907.46;100700.64;100917.59;100823.49;101044.62;101262.11;101482.97;101283.88;101505.96;101727.25;101948.31;101748.82;101550.37;101350.94;101147.90;100948.22;100745.85;100546.47;100767.26;100568.83;100365.69;100166.36;100383.91;100604.24;100821.75;101042.54;101264.52;101482.67;101703.31;101496.76;101293.61;101094.91;101309.38;101105.77;100907.55;101124.25;101341.72;101558.67;101776.50;101577.94;101561.83;101778.40;101992.31;101790.00;102008.39;102225.77;102446.97;102427.13;102400.90;102617.76;102839.22;103057.03;102858.62;102656.63;102873.81;102649.81;102451.27;102248.13;102049.53;101850.21;101936.05;102157.42;102363.81;102542.06;102342.92;102564.12;102786.01;102584.37;102381.37;102603.30;102400.83;102535.65;102337.28;102555.59;102353.12;102149.50;101950.11;101750.21;101971.62;101765.41;101562.73;101417.14;101218.33;101439.45;101241.13;101461.94;101262.20;101063.54;101285.27;101086.64;100887.75;100688.35;100490.07;100290.43;100091.98;99892.33;99692.68;99489.47;99291.21;99092.34;98893.00;98693.15;98494.56;98485.70;98707.69;98507.91;98308.50;98530.50;98752.72;98974.63;99196.09;99416.89;99217.92;99014.46;98815.85;99034.26;98835.58;98636.46;98437.64;98234.86;98308.60;98109.45;97910.90;98131.23;97928.20;97728.79;97945.94;98163.41;97960.94;97761.58;97979.49;97780.14;97791.95;98013.21;98063.56;98277.07;98498.85;98720.25;98512.88;98734.05;98955.04;98756.62;98546.40;98322.34;98120.04;98021.47;98228.26;98442.30;98498.06
q08;100000.00;99799.87;99600.12;99397.72;99191.06;99291.99;99299.54;99516.80;99547.55;99419.45;99386.38;99607.42;99401.88;99198.69;99413.38;99564.48;99632.61;99851.40;100072.83;99981.11;100198.69;100419.36;100619.62;100420.26;100220.43;100415.98;100634.12;100434.54;100235.77;100030.43;99831.29;99632.91;99853.98;99654.58;99454.84;99676.31;99897.81;100115.80;100336.84;100134.56;99929.56;100144.40;100365.27;100155.69;100377.11;100495.60;100714.33;100934.93;100733.03;100954.00;101175.48;101155.33;100953.20;100753.87;100822.46;101039.51;101261.56;101063.01;100863.25;100656.51;100873.61;100910.68;100711.66;100509.63;100310.84;100532.05;100754.13;100907.42;100973.76;100986.02;100787.57;101009.15;101227.84;101418.79;101480.72;101702.25;101923.04;102143.52;102163.39;101964.06;101761.65;101563.35;101781.34;101582.64;101382.86;101180.27;100981.70;100953.05;100750.15;100551.46;100344.89;100141.60;99943.38;99919.50;99875.07;99673.17;99470.43;99307.91;99529.80;99746.68;99961.10;100178.56;99975.35;99773.07;99573.99;99372.44;99161.97;98959.80;98760.49;98557.41;98777.87;98575.72;98373.21;98148.63;97950.08;97746.57;97547.97;97348.65;97565.69;97366.46;97586.76;97806.96;98028.22;97829.15;98051.04;98047.35;97844.17;97857.64;97654.88;97872.63;97674.26;97470.94;97268.44;97064.84;96865.44;97087.54;97308.95;97102.79;97320.34;97299.01;97100.20;96901.19;96702.87;96504.14;96726.08;96946.82;97168.56;97389.27;97610.25;97410.85;97212.57;97434.39;97472.70;97550.52;97649.71;97762.16;97563.90;97533.15;97333.81;97339.51;97369.73;97590.92;97812.91;98034.89;98256.45;98478.45;98700.67;98922.58;98723.28;98524.55;98745.62;98963.75;98765.14;98983.09;99203.84;99425.08;99226.26;99443.23;99240.89;99041.74;99262.34;99482.67;99699.32;99920.89;100137.82;99934.25;100150.56;99951.21;99747.27;99547.92;99543.74;99344.61;99468.48;99261.00;99482.77;99283.51;99496.93;99297.88;99098.99;98900.56;98945.80;99134.79;99189.99;98985.93;98768.10;98863.99;98665.53
q09;100000.00;99799.87;99600.12;99398.28;99295.89;99097.01;98894.32;98692.46;98914.36;98959.66;98758.02;98559.08;98773.70;98570.60;98364.61;98165.61;97951.76;98170.38;98391.81;98610.53;98828.12;98629.51;98427.67;98427.67;98649.70;98845.97;98643.60;98444.02;98245.25;98040.50;98261.77;98063.39;97864.43;98085.98;98307.92;98529.39;98750.89;98969.31;98770.38;98988.71;99203.37;98998.16;98799.38;98824.08;98624.80;98419.06;98572.56;98599.47;98817.16;99038.14;99073.02;99286.25;99490.22;99711.71;99929.23;99726.42;99869.55;100090.15;99890.39;99682.58;99480.19;99697.20;99829.21;99626.55;99617.46;99838.67;99638.81;99439.64;99660.70;99882.36;100102.85;99903.42;99700.06;99921.93;99719.34;99519.96;99740.75;99961.23;100178.81;100159.40;100186.13;99987.83;99785.09;99586.39;99808.36;100026.34;99827.77;100041.69;99838.26;99639.57;99431.79;99427.56;99229.34;99361.27;99395.34;99192.76;99204.61;99302.05;99398.14;99614.38;99827.54;99792.15;100010.34;100227.47;100028.40;99826.34;100035.94;100252.61;100423.61;100495.43;100550.87;100594.03;100811.09;100586.67;100388.13;100605.88;100826.55;101048.01;100844.83;100835.61;100637.33;100439.15;100660.41;100881.60;100681.90;100898.08;101115.39;101337.32;101554.23;101771.63;101843.22;101639.60;101436.81;101232.93;101033.54;100833.64;100634.37;100427.53;100224.37;100437.31;100658.21;100459.20;100679.55;100641.77;100664.32;100885.06;100685.50;100906.21;101127.19;101348.74;101569.05;101790.87;101592.42;101814.25;102036.10;102076.03;101877.77;101678.90;101479.56;101320.46;101121.87;101343.06;101143.26;100943.48;100744.08;100544.28;100344.29;100144.57;99945.27;100166.08;100387.15;100605.97;100407.36;100204.22;100005.54;99806.42;100027.33;100023.89;100240.80;100041.64;100262.24;100482.57;100699.97;100868.51;101071.48;100868.62;101085.70;101096.91;100893.86;100694.51;100495.46;100296.33;100092.85;99886.58;100108.36;99909.09;99701.78;99502.73;99303.83;99524.30;99734.20;99509.53;99307.18;99525.02;99310.16;99103.32;98904.86
