"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Comm/Swap";"Stop Loss price level";"Profit/Loss";"Profit/Loss Pips";"Balance";"Profit Target price level"
"5";"USATECHIDXUSD_ftmo";"Buy";"2024.01.05 19:00:00";"16330.89";"1.36";"2024.01.05 21:00:00";"16328.73";"-2,94";"99997,06";"IST";"End Of Friday (Time)";"-82,43";"18,51";"2h 0m";"";"-0,00";"16183,91016";"-2,94";"-2,16";"99997,06";"16494,19922"
"6";"USATECHIDXUSD_ftmo";"Buy";"2024.01.08 01:30:00";"16320.27";"1.36";"2024.01.08 17:00:00";"16483.47";"221,95";"100219,02";"IST";"PT";"-138,07";"221,95";"15h 30m";"";"-0,00";"16173,38965";"221,95";"163,20";"100219,02";"16483,47070"
"189";"USATECHIDXUSD_ftmo";"Buy";"2024.01.11 15:30:00";"16749.88";"1.32";"2024.01.12 21:00:00";"16838.53";"113,43";"100332,45";"IST";"End Of Friday (Time)";"-181,49";"203,20";"1d 5h 30m";"";"-3,59";"16599,13086";"113,43";"88,65";"100332,45";"16917,38086"
"190";"USATECHIDXUSD_ftmo";"Buy";"2024.01.15 01:45:00";"16811.29";"1.32";"2024.01.17 16:30:00";"16659.99";"-206,92";"100125,53";"IST";"SL";"-199,72";"114,94";"2d 14h 45m";"";"-7,20";"16659,99023";"-206,92";"-151,30";"100125,53";"16979,40039"
"191";"USATECHIDXUSD_ftmo";"Buy";"2024.01.18 03:00:00";"16741.15";"1.32";"2024.01.18 15:30:00";"16908.56";"220,98";"100346,51";"IST";"PT";"-34,89";"220,98";"12h 30m";"";"-0,00";"16590,48047";"220,98";"167,41";"100346,51";"16908,56055"
"341";"USATECHIDXUSD_ftmo";"Buy";"2024.01.23 10:15:00";"17316.53";"1.28";"2024.01.24 08:00:00";"17489.70";"218,06";"100564,57";"IST";"PT";"-42,12";"221,66";"21h 45m";"";"-3,60";"17160,67969";"218,06";"173,17";"100564,57";"17489,69922"
"433";"USATECHIDXUSD_ftmo";"Buy";"2024.01.25 20:15:00";"17515.96";"1.26";"2024.01.26 09:45:00";"17358.32";"-202,21";"100362,37";"IST";"SL";"-198,63";"19,70";"13h 30m";"";"-3,58";"17358,32031";"-202,21";"-157,64";"100362,37";"17691,11914"
"437";"USATECHIDXUSD_ftmo";"Buy";"2024.01.26 18:30:00";"17473.33";"1.27";"2024.01.26 21:00:00";"17405.02";"-86,75";"100275,61";"IST";"End Of Friday (Time)";"-105,53";"55,88";"2h 30m";"";"-0,00";"17316,07031";"-86,75";"-68,31";"100275,61";"17648,06055"
"438";"USATECHIDXUSD_ftmo";"Buy";"2024.01.29 10:00:00";"17446.29";"1.27";"2024.01.30 02:30:00";"17620.75";"217,97";"100493,59";"IST";"PT";"-46,46";"221,56";"16h 30m";"";"-3,59";"17289,26953";"217,97";"174,46";"100493,59";"17620,75000"
"482";"USATECHIDXUSD_ftmo";"Buy";"2024.01.30 19:15:00";"17501.87";"1.26";"2024.01.31 01:00:00";"17304.61";"-252,12";"100241,46";"IST";"SL";"-248,55";"0,00";"5h 45m";"";"-3,58";"17344,34961";"-252,12";"-197,26";"100241,46";"17676,89063"
"483";"USATECHIDXUSD_ftmo";"Buy";"2024.02.01 19:15:00";"17268.62";"1.28";"2024.02.01 23:00:00";"17441.31";"221,04";"100462,50";"IST";"PT";"-45,06";"221,04";"3h 45m";"";"-0,00";"17113,19922";"221,04";"172,69";"100462,50";"17441,31055"
"572";"USATECHIDXUSD_ftmo";"Buy";"2024.02.05 17:15:00";"17533.80";"1.26";"2024.02.07 17:00:00";"17709.14";"213,76";"100676,26";"IST";"PT";"-86,40";"220,93";"1d 23h 45m";"";"-7,17";"17376,00000";"213,76";"175,34";"100676,26";"17709,14063"
"761";"USATECHIDXUSD_ftmo";"Buy";"2024.02.12 21:15:00";"17896.36";"1.24";"2024.02.13 14:00:00";"17735.29";"-203,33";"100472,94";"IST";"SL";"-199,73";"16,65";"16h 45m";"";"-3,60";"17735,28906";"-203,33";"-161,07";"100472,94";"18075,32031"
"762";"USATECHIDXUSD_ftmo";"Buy";"2024.02.14 17:30:00";"17726.18";"1.25";"2024.02.16 09:45:00";"17903.44";"214,39";"100687,32";"IST";"PT";"-134,15";"221,57";"1d 16h 15m";"";"-7,19";"17566,64063";"214,39";"177,26";"100687,32";"17903,43945"
